R-HSA-373094,PR:000046588
R-HSA-443967,PR:000046589
R-HSA-373097,PR:000046590
R-HSA-373116,PR:000046591
R-HSA-443980,PR:000046592
R-HSA-373096,PR:000046593
R-HSA-373098,PR:000046594
R-HSA-373300,PR:000046595
R-HSA-443989,PR:000046596
R-HSA-443976,PR:000046597
R-HSA-373108,PR:000046598
R-HSA-443975,PR:000046599
R-HSA-6783068,PR:000046600
R-HSA-6783099,PR:000046601
R-HSA-6783044,PR:000046602
R-HSA-373125,PR:000046603
R-HSA-390464,PR:000046604
R-HSA-390458,PR:000046605
R-HSA-390447,PR:000046606
R-HSA-390454,PR:000046607
R-HSA-390449,PR:000046608
R-HSA-8866028,PR:000046609
R-HSA-2168868,PR:000046610
R-HSA-166152,PR:000046611
R-HSA-197740,PR:000046612
R-HSA-2076270,PR:000046613
R-HSA-197792,PR:000046614
R-HSA-197793,PR:000046615
R-HSA-8850110,PR:000046616
R-HSA-197833,PR:000046617
R-HSA-197795,PR:000046618
R-HSA-197760,PR:000046619
R-HSA-197761,PR:000046620
R-HSA-197703,PR:000046621
R-HSA-5690726,PR:000046622
R-HSA-197562,PR:000046623
R-HSA-197846,PR:000046624
R-HSA-5666994,PR:000046625
R-HSA-3211776,PR:000046626
R-HSA-5696339,PR:000046627
R-HSA-2130162,PR:000046628
R-HSA-2426570,PR:000046629
R-HSA-5696335,PR:000046630
R-HSA-5696338,PR:000046631
R-HSA-5696334,PR:000046632
R-HSA-2980909,PR:000046633
R-HSA-197719,PR:000046634
R-HSA-114687,PR:000046635
R-HSA-2239449,PR:000046636
R-HSA-198171,PR:000046637
R-HSA-202329,PR:000046638
R-HSA-197906,PR:000046639
R-HSA-197917,PR:000046640
R-HSA-1031688,PR:000046641
R-HSA-977362,PR:000046642
R-HSA-197736,PR:000046643
R-HSA-197804,PR:000046644
R-HSA-114583,PR:000046645
R-HSA-197154,PR:000046646
R-HSA-983539,PR:000046647
R-HSA-197156,PR:000046648
R-HSA-983634,PR:000046649
R-HSA-179789,PR:000046650
R-HSA-3325587,PR:000046651
R-HSA-179784,PR:000046652
R-HSA-197601,PR:000046653
R-HSA-2980537,PR:000046654
